variables,label
oils_co2e,oils_co2e
beans_co2e,beans_co2e
nuts_co2e,nuts_co2e
rice_co2e,rice_co2e
cereals_co2e,cereals_co2e
dairy_co2e,dairy_co2e
eggs_co2e,eggs_co2e
fish_seaf_co2e,fish_seaf_co2e
fruits_co2e,fruits_co2e
pork_orm_co2e,pork_orm_co2e
poultry_co2e,poultry_co2e
other_co2e,other_co2e
potatoes_co2e,potatoes_co2e
vegetables_co2e,vegetables_co2e
cheese_co2e,cheese_co2e
beef_co2e,beef_co2e
bwater_co2e,bwater_co2e
juice_co2e,juice_co2e
soda_co2e,soda_co2e
coffee_co2e,coffee_co2e
tea_co2e,tea_co2e
milk_co2e,milk_co2e
milkaltern_co2e,milkaltern_co2e
wine_co2e,wine_co2e
beer_co2e,beer_co2e
otheralc_co2e,otheralc_co2e
O_high_oils,O_high_oils
O_high_beans,O_high_beans
O_high_nuts,O_high_nuts
O_high_rice,O_high_rice
O_high_cerealss,O_high_cerealss
O_high_milk,O_high_milk
O_high_dairy,O_high_dairy
O_high_cheese,O_high_cheese
O_high_eggs,O_high_eggs
O_high_fish_seaf,O_high_fish_seaf
O_high_fruits,O_high_fruits
O_high_beef,O_high_beef
O_high_pork_orm,O_high_pork_orm
O_high_poultry,O_high_poultry
O_high_other,O_high_other
O_high_potatoes,O_high_potatoes
O_high_vegetables,O_high_vegetables
O_high_beer,O_high_beer
O_high_coffee,O_high_coffee
O_high_wine,O_high_wine
O_high_bwater,O_high_bwater
O_high_tea,O_high_tea
O_high_milkaltern,O_high_milkaltern
O_high_juice,O_high_juice
O_high_otheralc,O_high_otheralc
O_high_soda,O_high_soda
O_medium_oils,O_medium_oils
O_medium_beans,O_medium_beans
O_medium_nuts,O_medium_nuts
O_medium_rice,O_medium_rice
O_medium_cereals,O_medium_cereals
O_medium_milk,O_medium_milk
O_medium_dairy,O_medium_dairy
O_medium_cheese,O_medium_cheese
O_medium_eggs,O_medium_eggs
O_medium_fish_seaf,O_medium_fish_seaf
O_medium_fruits,O_medium_fruits
O_medium_beef,O_medium_beef
O_medium_pork_orm,O_medium_pork_orm
O_medium_poultry,O_medium_poultry
O_medium_other,O_medium_other
O_medium_potatoes,O_medium_potatoes
O_medium_vegetables,O_medium_vegetables
O_medium_beer,O_medium_beer
O_medium_coffee,O_medium_coffee
O_medium_wine,O_medium_wine
O_medium_bwater,O_medium_bwater
O_medium_tea,O_medium_tea
O_medium_milkaltern,O_medium_milkaltern
O_medium_juice,O_medium_juice
O_medium_otheralc,O_medium_otheralc
O_medium_soda,O_medium_soda
O_low_oils,O_low_oils
O_low_beans,O_low_beans
O_low_nuts,O_low_nuts
O_low_rice,O_low_rice
O_low_cerealss,O_low_cerealss
O_low_milk,O_low_milk
O_low_dairy,O_low_dairy
O_low_cheese,O_low_cheese
O_low_eggs,O_low_eggs
O_low_fish_seaf,O_low_fish_seaf
O_low_fruits,O_low_fruits
O_low_beef,O_low_beef
O_low_pork_orm,O_low_pork_orm
O_low_poultry,O_low_poultry
O_low_other,O_low_other
O_low_potatoes,O_low_potatoes
O_low_vegetables,O_low_vegetables
O_low_beer,O_low_beer
O_low_coffee,O_low_coffee
O_low_wine,O_low_wine
O_low_bwater,O_low_bwater
O_low_tea,O_low_tea
O_low_milkaltern,O_low_milkaltern
O_low_juice,O_low_juice
O_low_otheralc,O_low_otheralc
O_low_soda,O_low_soda
VT_oils,VT_oils
VT_beans,VT_beans
VT_nuts,VT_nuts
VT_rice,VT_rice
VT_cerealss,VT_cerealss
VT_milk,VT_milk
VT_dairy,VT_dairy
VT_cheese,VT_cheese
VT_eggs,VT_eggs
VT_fish_seaf,VT_fish_seaf
VT_fruits,VT_fruits
VT_beef,VT_beef
VT_pork_orm,VT_pork_orm
VT_poultry,VT_poultry
VT_other,VT_other
VT_potatoes,VT_potatoes
VT_vegetables,VT_vegetables
VT_beer,VT_beer
VT_coffee,VT_coffee
VT_wine,VT_wine
VT_bwater,VT_bwater
VT_tea,VT_tea
VT_milkaltern,VT_milkaltern
VT_juice,VT_juice
VT_otheralc,VT_otheralc
VT_soda,VT_soda
VN_oils,VN_oils
VN_beans,VN_beans
VN_nuts,VN_nuts
VN_rice,VN_rice
VN_cerealss,VN_cerealss
VN_milk,VN_milk
VN_dairy,VN_dairy
VN_cheese,VN_cheese
VN_eggs,VN_eggs
VN_fish_seaf,VN_fish_seaf
VN_fruits,VN_fruits
VN_beef,VN_beef
VN_pork_orm,VN_pork_orm
VN_poultry,VN_poultry
VN_other,VN_other
VN_potatoes,VN_potatoes
VN_vegetables,VN_vegetables
VN_beer,VN_beer
VN_coffee,VN_coffee
VN_wine,VN_wine
VN_bwater,VN_bwater
VN_tea,VN_tea
VN_milkaltern,VN_milkaltern
VN_juice,VN_juice
VN_otheralc,VN_otheralc
VN_soda,VN_soda